original.name	chr2n
Carex_digitata|ITA|spm00000569	51.56666667
Carex_ornithopoda_ssp_ornithopodioides||NCBI_HeRB_1945	55
Carex_nervina|CAL|spm00001840	52
Carex_festucacea|TEX|spm00000892	69.66666667
Carex_cyanea|NZ|spm00005097	88
Carex_retrorsa|MIC|spm00001210	70
Carex_pedunculata|MAS|spm00001147	26
Carex_cumulata|ILL|spm00000871	57.5
Carex_parallela|KHA|spm00006471	40.875
Carex_montana|YUG|spm00000543	38
Carex_crinita_var_crinita|MAI|spm00000801	66.33333333
Carex_rotundata|MAN|spm00001749	65.125
Carex_ramenskii|ASK|spm00001439	80
Carex_annectens|ALA|spm00000730	51
Carex_planiculmis|KOR|NCBI_Jung_2377	61
Carex_exilis|DEL|spm00000887	62
Carex_demissa_ssp_demissa|NSC|spm00001948	69.75
Carex_hispida|KRI|spm00000549	39.33333333
Carex_pseudocuraica|CH|spm00002605	33
Carex_deflexa_var_deflexa|BRC|spm00002125	25.75
Carex_lurida|FLA|spm00001082	65
Carex_bromoides|WIS|spm00002284	64.57142857
Carex_tonsa||spm00001317	32
Carex_umbrosa_ssp_huetiana|TCS|spm00003480	66.5
Carex_purpurata||spm00004431	88
Carex_hallii|MAN|spm00001754	54
Carex_cruscorvi|FLA|spm00000822	52
Carex_parviflora|FRA_|spm00008036	54
Carex_bebbii|MAN|spm00000745	68.57142857
Carex_bulbostylis|MSI|spm00000648	54
Carex_brevior|BRC|spm00001823	59.6
Carex_helodes|POR|NCBI_Jose_2346	73
Carex_aucklandica||spm00004410	88
Carex_lupulina|MRY|spm00001078	58
Carex_projecta|MAN|spm00001176	64.28571429
Carex_alatauensis|AFG|spm00003401	80
Carex_spartea|NAT|spm00007814	30.83333333
Carex_muehlenbergii_var_muehlenbergii|WIS|spm00002520	46
Carex_glomerabilis|CPP|spm00000194	60
Carex_frankii|ALA|spm00000939	79.33333333
Carex_infuscata|WHM|spm00008013	54
Carex_reinii|JAP|spm00006675	25.75
Carex_microtricha|SAK|spm00006763	31
Carex_pachystylis|UZB|spm00003472	45.5
Carex_vernacula|CAL|spm00005382	52
Carex_rosea|MAI|spm00001214	53.6
Carex_tribuloides_var_tribuloides|SCA|spm00001323	70.25
Carex_durieui|SPA|spm00004386	52.25
Carex_macrolepis|ITA|spm00000536	36.5
Carex_callitrichos|KOR|spm00000335	70
