original.name;LI.length.mp
Carex_nigra_ssp_intricata|SPA|spm00003775;17.5
Carex_nigra_ssp_nigra|GRB|NCBI_Dean_SM00019;27
Carex_nigra_var_juncella|NOR|spm00003773;17.5
Carex_nigricans|ASK|spm00001638;0
Carex_nigromarginata|ALA|spm00001121;5.5
Carex_nodaeana|CHM|spm00003470;10
Carex_normalis|ALA|spm00001059;9.5
Carex_norvegica|ORE|spm00001616;7
Carex_novaeangliae|MAI|spm00001061;4.5
Carex_nubigena|CHC|spm00003362;7
Carex_nudata|CAL|spm00001440;32.5
Carex_obnupta|CAL|spm00001105;87.5
Carex_obscura|CHT|spm00003376;19
Carex_obtusata|MAN|spm00001107;0
Carex_obtusifolia||spm00004428;0
Carex_oedipostyla|SPA|spm00000587;11
Carex_okamotoi|KOR|NCBI_Hoshino_2100;15
Carex_olbiensis|SPA|spm00000586;22.5
Carex_oligocarpa|ARK|spm00001532;14
Carex_oligosperma|NWH|spm00001112;15
Carex_onoei|CHM|spm00004513;0
Carex_opaca|OKL|spm00001133;16
Carex_orbicularis_ssp_orbicularis|NEP|spm00003063;10
Carex_orestera|CAL|spm00008033;8
Carex_ornithopoda_ssp_ornithopoda|YUG|spm00000560;6.5
Carex_oronensis|MAI|spm00001898;7.5
Carex_otrubae|SPA|spm00000559;11.5
Carex_ouachitana|WAS|spm00001538;26
Carex_ozarkana|ARK|spm00002557;9.5
Carex_pachystachya|ASK|spm00001864;7.2
Carex_paeninsulae|FLA|spm00001445;9.5
Carex_pairae|SPA|spm00004403;7.5
Carex_paleacea|MAI|spm00001127;43.5
Carex_pallescens|BRC|spm00002008;12.5
Carex_panicea|MAI|spm00001906;18.5
Carex_paniculata_ssp_paniculata|GRC|spm00006108;6.5
Carex_papulosa|KOR|spm00000016;15
Carex_parallela|KHA|spm00006471;12
Carex_parryana|ASK|spm00001634;12.5
Carex_parviflora|FRA_|spm00008036;6.5
Carex_parvirufa|NAT|spm00003224;18.5
Carex_parvispica||spm00004427;0
Carex_pauciflora|ASK|spm00001142;0
Carex_paulovargasii|MOR|spm00004349;19
Carex_paxii|JAP|spm00006668;6
Carex_pediformis_ssp_macroura|FIN|spm00003598;22.5
Carex_pediformis_ssp_pediformis|CHC|spm00003390;22.5
Carex_pedunculata|MAS|spm00001147;8.65
Carex_pellita|CAL|spm00001148;25
Carex_penalpina|NZS|NCBI_AUTHOR_Gardner_335;0
Carex_pendula|FRA|spm00007935;137.5
Carex_pensylvanica|MAN|spm00001171;12.5
Carex_peregrina|MDR|spm00000564;0
Carex_perplexa||spm00004409;0
Carex_perraudieriana|CNY|spm00004346;110
Carex_petasata|UTA|spm00001192;21
Carex_petitiana_ssp_attenuata|MLW|spm00004345;40
Carex_petitiana_ssp_petitiana|KEN|spm00002867;40
Carex_petricosa_var_petricosa|NWT|NCBI_Gillespie_1850;17.5
Carex_petriei|NZ|NCBI_AUTHOR_Gardner_315;20
Carex_peucophila|MXC|spm00002576;7.5
Carex_phacota|KOR|spm00000344;40
Carex_phaeocephala|NEV|spm00001193;13.5
Carex_phleoides_ssp_phleoides|CLC|spm00005103;0
Carex_pichinchensis|ECU|spm00000538;20
Carex_pigra|MSI|spm00001785;20
Carex_pilosa|YUG|spm00000563;30
Carex_pilulifera|POR|spm00000583;6.5
Carex_pisiformis_var_pisiformis|CHS|spm00000095;20
Carex_pisiformis_var_sikokiana|KOR|spm00000349;35
Carex_planata|JAP|spm00005429;8
