original.name;Culm.length.mp
Carex_fracta|CAL|spm00000896;87.5
Carex_frankii|ALA|spm00000939;49
Carex_fretalis|NZ|NCBI_AUTHOR_Gardner_326;12.5
Carex_frigida|SPA|spm00000521;35
Carex_fritschii|HUN|spm00002174;52.5
Carex_fuliginosa_ssp_misandra|ASK|spm00001627;20
Carex_fulvorubescens|JAP|spm00006431;22.5
Carex_furva|SPA|spm00006018;53.5
Carex_fuscula|CLC|spm00004370;15
Carex_fusiformis|EHM|spm00005727;37.5
Carex_garberi|ASK|spm00001624;22.5
Carex_gaudichaudiana||NCBI_Ford_1659;19
Carex_gholsonii|ALA|spm00000953;47.5
Carex_gibba|CHH|spm00005244;40
Carex_gifuensis|KOR|spm00000331;20
Carex_glacialis|NFL|spm00001488;9
Carex_glareosa_ssp_glareosa|MAN|spm00001756;25
Carex_glaucodea|INI|spm00001525;30
Carex_glomerabilis|CPP|spm00000194;38.75
Carex_glossostigma|CHS|spm00007875;35
Carex_gmelinii|ASK|spm00001629;40
Carex_godfreyi|ALA|spm00001787;36.5
Carex_gracilescens|KTY|spm00000927;45.5
Carex_gracilior|CAL|spm00001692;50
Carex_gracillima|ALA|spm00000922;55
Carex_grallatoria_ssp_grallatoria|JAP|spm00006651;7
Carex_grallatoria_ssp_heteroclita|JAP|spm00006653;12.5
Carex_grandiligulata|CHS|spm00000056;25
Carex_granularis|MAN|spm00001407;41.5
Carex_gravida|TEN|spm00000970;65
Carex_grayi|TEN|spm00000924;65
Carex_grioletii|SPA|spm00000585;52.5
Carex_grisea|KTY|spm00000656;52.5
Carex_gynandra|DEL|spm00000964;92.5
Carex_gynocrates|ASK|spm00001630;16
Carex_gynodynama|CAL|spm00001688;45
Carex_halleriana|SPA|spm00000557;25
Carex_hallii|MAN|spm00001754;20
Carex_hamlinii|NZS|NCBI_AUTHOR_Gardner_333;27.5
Carex_harfordii|CAL|spm00000965;92.5
Carex_hartmanii|GER|spm00008007;47.5
Carex_haydeniana|UTA|spm00002432;19.5
Carex_haydenii|WIS|spm00002433;72.5
Carex_healyi|NZN|spm00005107;32.5
Carex_hebecarpa|EHM|spm00005738;40
Carex_heleonastes|ABT|spm00001954;25
Carex_helodes|POR|NCBI_Jose_2346;75
Carex_heterolepis|KOR|NCBI_Jung_2360;55
Carex_hirsutella|DEL|spm00000935;55
Carex_hirta|PEN|spm00000947;55
Carex_hirtifolia|QUE|spm00001475;42.5
Carex_hirtissima|CAL|spm00001694;45
Carex_hispida|KRI|spm00000549;72.5
Carex_hitchcockiana|KTY|spm00000657;37.5
Carex_hochstetteriana|AZO|NCBI_UPOS_3551;75
Carex_holostoma|ASK|spm00001631;20
Carex_hoodii|CAL|spm00001930;50
Carex_hookeriana|MAN|spm00005409;47.5
Carex_hordeistichos|SPA|spm00000579;20
Carex_horizontalis|NZS|spm00005106;25
Carex_hormathodes|NSC|spm00002114;50
Carex_hostiana|GER|spm00003273;42.5
Carex_houghtoniana|MAN|spm00001446;50
Carex_humilis|GER|NCBI_WM_3755;3.5
Carex_hyalina|MSI|spm00000912;60
Carex_hystericina|ARK|spm00001081;60
Carex_illota|CAL|spm00000961;26.5
Carex_imbecilla||spm00004419;30
Carex_impressinervia|MSI|spm00001784;55
Carex_inanis|EHM|spm00005746;30
Carex_infirminervia|CAL|spm00001398;46.5
